"","sig_genes_pval_deseq"
"1456","116927501"
"1457","116927944"
"1458","116926164"
"1459","116926731"
"1460","116928031"
"1461","116926068"
"1462","116926027"
"1463","116927303"
"1464","116927416"
"1465","116928102"
"1466","116927633"
"1467","116928032"
"1468","116927065"
"1469","116927211"
"1470","116927469"
"1471","116927119"
"1472","116927036"
"1473","116927888"
"1474","116927163"
"1475","116927631"
"1476","116926883"
"1477","116927868"
"1478","116926989"
"1479","116927397"
"1480","116928129"
"1481","116926387"
"1482","116926042"
"1483","116927361"
"1484","116927037"
"1485","116926899"
"1486","116927943"
"1487","116926319"
"1488","116926476"
"1489","116927105"
"1490","116926029"
"1491","116926273"
"1492","116927335"
"1493","116926830"
"1494","116926562"
"1495","116927104"
"1496","116926446"
"1497","116926104"
"1498","116926393"
"1499","116926245"
"1500","116927062"
"1501","116927166"
"1502","116927020"
"1503","116927769"
"1504","116928049"
"1505","116926147"
"1506","116926303"
"1507","116926390"
"1508","116927055"
"1509","116927907"
"1510","116926528"
"1511","116927446"
"1512","116927384"
"1513","116927392"
"1514","116926336"
"1515","116926651"
"1516","116927330"
"1517","116927254"
"1518","116927304"
"1519","116927425"
"1520","116926503"
"1521","116928072"
"1522","116927712"
"1523","116927404"
"1524","116927093"
"1525","116927245"
"1526","116927380"
"1527","116926706"
"1528","116926248"
"1529","116926682"
"1530","116927940"
"1531","116927832"
"1532","116926292"
"1533","116927015"
"1534","116926843"
"1535","116927741"
"1536","116927784"
"1537","116926274"
"1538","116926511"
"1539","116927151"
"1540","116927375"
"1541","116926144"
"1542","116926306"
"1543","116927073"
"1544","116926388"
"1545","116927399"
"1546","116926763"
"1547","116927627"
"1548","116926648"
"1549","116926211"
"1550","116926265"
"1551","116927453"
"1552","116926443"
"1553","116926879"
"1554","116927113"
"1555","116926709"
"1556","116927390"
"1557","116926459"
"1558","116927308"
"1559","116926203"
"1560","116928044"
"1561","116927734"
"1562","116926403"
"1563","116927919"
"1564","116927471"
"1565","116927432"
"1566","116928095"
"1567","116927150"
"1568","116926294"
"1569","116927058"
"1570","116926723"
"1571","116927833"
"1572","116926239"
"1573","116927825"
"1574","116926903"
"1575","116926658"
"1576","116927698"
"1577","116927154"
"1578","116928018"
"1579","116926431"
"1580","116927482"
"1581","116926394"
"1582","116926479"
"1583","116926473"
"1584","116926359"
"1585","116928045"
"1586","116926669"
"1587","116926080"
"1588","116926816"
"1589","116927014"
"1590","116926307"
"1591","116927884"
"1592","116927925"
"1593","116926523"
"1594","116926143"
"1595","116926777"
"1596","116927370"
"1597","116927090"
"1598","116926509"
"1599","116926649"
"1600","116927601"
"1601","116927208"
"1602","116927039"
"1603","116927891"
"1604","116926132"
"1605","116927155"
"1606","116926417"
"1607","116927338"
"1608","116927642"
"1609","116927339"
"1610","116927914"
"1611","116926828"
"1612","116928091"
"1613","116927246"
"1614","116925992"
"1615","116927203"
"1616","116926277"
"1617","116927098"
"1618","116928122"
"1619","116927995"
"1620","116928120"
"1621","116926411"
"1622","116926826"
"1623","116926543"
"1624","116927938"
"1625","116926021"
"1626","116926401"
"1627","116926990"
"1628","116927070"
"1629","116926647"
"1630","116927481"
"1631","116926278"
"1632","116927911"
"1633","116927735"
"1634","116928124"
"1635","116927188"
"1636","116926392"
"1637","116926466"
"1638","116927336"
"1639","116928097"
"1640","116927440"
"1641","116927955"
"1642","116926646"
"1643","116926831"
"1644","116926471"
"1645","116927241"
"1646","116927924"
"1647","116927171"
"1648","116926180"
"1649","116927637"
"1650","116927421"
"1651","116926804"
"1652","116926978"
"1653","116927095"
"1654","116927097"
"1655","116925988"
