"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116922988",-0.142734318474067,-0.135806110628719,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116922993",-1.72921912733608,0.725348937748655,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923040",-1.96317287707412,1.173745338559,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923041",-2.10716418509658,1.19676572225494,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923059",0.587197524618055,0.62557621499435,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923073",-0.587527764821804,0.714326844171103,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923178",-1.2994851813388,0.580439728356891,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923219",-0.881361603712524,0.870852936878148,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923430",-0.939956179597146,0.924872664263664,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923447",-1.91188213135938,0.877703791259162,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923679",-1.65562230476531,1.23425743775722,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923708",-1.26979513863909,0.810825000277615,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923841",-1.02508560073432,-0.387048811101821,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116923996",-2.40780191897736,0.768691159658396,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924049",-1.17918117281421,1.30654814606022,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924051",-0.756417910218132,1.2682444663813,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924262",-2.47624367183711,0.454506246640805,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924263",-0.734084925953789,-0.253091379127676,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924429",-0.707542419565233,1.58426181105883,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924502",-1.16672706209718,0.998739994824776,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924592",-1.4606595890286,0.352335986201172,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924703",-1.57897236273222,0.809628699145239,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924862",-1.50852196361275,1.17948527483841,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116924947",-0.800420667055035,1.45122409829999,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925005",-0.509688070399337,1.43850074675692,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925026",-0.570319975777218,0.707052430045038,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925029",-0.760065802256389,1.4469180402186,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925124",-0.0752492437473824,0.895139322882488,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925303",-1.21712106999954,1.35615084613857,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925370",-1.48004332546899,1.12373949460284,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925497",-0.437468696980694,-0.260349008478912,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925602",0.253496866186946,0.511964635308419,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925692",-1.14092044832339,1.42699652600108,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116925717",-0.264957642019826,1.69637802797108,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
